	ERR030886	ERR030873	ERR030877	ERR030878	ERR030879	ERR030872	ERR030880	ERR030881	ERR030882	ERR030883	ERR030884	ERR030885	ERR030887	ERR030875	ERR030876	ERR030874
TRIM54	60.70762	6.09079	0.05573	0.3101	0.06651	54.46811	0.02916	0.16017	0.54958	4.71692	0.08997	0.83108	0.01864	0.0	105.36802	0.0945
TRIM55	25.53909	4.28033	0.07931	0.569	0.35291	8.67009	0.03066	0.02953	0.08963	0.74843	0.0	1.38846	9.50855	0.01702	7.1817	0.97466
TRIM56	2.92422	3.3276	2.80741	4.00586	2.53415	5.89829	7.15418	6.06927	1.23753	5.16716	4.66847	4.69277	1.44746	5.68011	1.3287	7.40152
TRIM58	0.14981	2.67115	0.4896	0.44082	5.33531	3.39216	0.57808	0.35776	0.19617	0.30575	2.47646	0.11398	0.05287	8.85863	0.02186	0.21236
TRIM59	0.13665	4.97187	1.79207	3.06043	0.73549	0.7506	0.3037	2.1734	6.48305	0.42683	0.9312	1.2335	0.18164	5.98325	0.15995	1.5714
TRIM6	0.45025	5.34284	2.66439	1.01969	0.70418	3.36694	0.80554	1.26181	0.37928	6.96387	1.24637	5.78194	0.19107	0.21797	0.29313	2.52929
TRIM60	0.0	1.16534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRIM61	0.36316	1.04071	0.14159	0.27453	0.0	0.58021	0.04462	0.17794	0.12888	0.3463	0.05105	0.11543	0.08329	0.62437	0.0	0.40766
TRIM62	0.73521	1.80495	2.10627	1.92879	0.93367	1.09651	1.45244	2.40978	3.07971	0.84741	0.77097	1.80699	0.4405	4.39991	5.37433	1.90302
TRIM63	163.41837	4.16884	7.03361	0.70817	0.04753	52.90008	0.15987	0.0913	0.06152	7.56422	0.24576	0.65745	0.01066	0.0	925.73767	0.12215
TRIM64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRIM64B	0.0	0.02703	0.0	0.0	0.0	0.0	0.0	0.0	0.00644	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRIM65	2.36887	3.88599	5.12489	12.35122	3.87111	4.92521	4.53033	7.25554	3.60658	3.9891	4.93328	5.2586	1.84747	6.17598	4.0827	7.93578
TRIM66	0.59287	2.13834	1.51461	1.08199	0.24814	1.53851	0.62835	2.7131	1.42645	1.26371	0.45162	1.33652	0.94213	0.71924	0.36695	0.83017
TRIM67	0.01554	0.0778	0.00187	0.0224	0.00197	0.00561	0.33562	0.01756	0.14818	0.07468	0.07572	0.0	0.01544	0.0	0.0	0.00292
