og_00000293	entrez_gi:29881	official_symbol:NPC1L1
og_00000294	entrez_gi:84233	official_symbol:TMEM126A
og_00000295	entrez_gi:401827	official_symbol:MSLNL
og_00000296	entrez_gi:7111	official_symbol:TMOD1
og_00000297	entrez_gi:51804	official_symbol:SIX4
og_00000298	entrez_gi:147912	official_symbol:SIX5
og_00000299	entrez_gi:4990	official_symbol:SIX6
og_00000300	entrez_gi:55511	official_symbol:SAGE1
og_00000301	entrez_gi:6495	official_symbol:SIX1
og_00000302	entrez_gi:10736	official_symbol:SIX2
og_00000303	entrez_gi:6496	official_symbol:SIX3
og_00000304	entrez_gi:374666	official_symbol:WASH3P
og_00000305	entrez_gi:245812	official_symbol:CNPY4
og_00000306	entrez_gi:10003	official_symbol:NAALAD2
og_00000307	entrez_gi:10330	official_symbol:CNPY2
og_00000308	entrez_gi:285888	official_symbol:CNPY1
og_00000309	entrez_gi:4838	official_symbol:NODAL
og_00000310	entrez_gi:284573	official_symbol:LINC00303
og_00000311	entrez_gi:283197	official_symbol:LINC00301
og_00000312	entrez_gi:85442	official_symbol:KNDC1
og_00000313	entrez_gi:10363	official_symbol:HMG20A
og_00000314	entrez_gi:10362	official_symbol:HMG20B
og_00000315	entrez_gi:221241	official_symbol:LINC00305
og_00000316	entrez_gi:79719	official_symbol:AAGAB
og_00000317	entrez_gi:55286	official_symbol:C4orf19
og_00000318	entrez_gi:152118	official_symbol:C3orf79
og_00000319	entrez_gi:440957	official_symbol:C3orf78
og_00000320	entrez_gi:375337	official_symbol:C3orf77
og_00000321	entrez_gi:54859	official_symbol:C3orf75
og_00000322	entrez_gi:84103	official_symbol:C4orf17
og_00000323	entrez_gi:60437	official_symbol:CDH26
og_00000324	entrez_gi:401089	official_symbol:C3orf72
og_00000325	entrez_gi:646450	official_symbol:C3orf71
og_00000326	entrez_gi:285382	official_symbol:C3orf70
og_00000327	entrez_gi:83876	official_symbol:MRO
og_00000328	entrez_gi:284406	official_symbol:ZFP82
og_00000329	entrez_gi:55743	official_symbol:CHFR
og_00000330	entrez_gi:221154	official_symbol:EFHA1
og_00000331	entrez_gi:83546	official_symbol:RTBDN
og_00000332	entrez_gi:286097	official_symbol:EFHA2
og_00000333	entrez_gi:6856	official_symbol:SYPL1
og_00000334	entrez_gi:606	official_symbol:NBEAP1
og_00000335	entrez_gi:284612	official_symbol:SYPL2
og_00000336	entrez_gi:731220	official_symbol:RFX8
og_00000337	entrez_gi:4883	official_symbol:NPR3
og_00000338	entrez_gi:246705	official_symbol:LINC00314
og_00000339	entrez_gi:5992	official_symbol:RFX4
og_00000340	entrez_gi:5993	official_symbol:RFX5
og_00000341	entrez_gi:351	official_symbol:APP
og_00000342	entrez_gi:64864	official_symbol:RFX7
og_00000343	entrez_gi:9369	official_symbol:NRXN3
og_00000344	entrez_gi:5989	official_symbol:RFX1
og_00000345	entrez_gi:5990	official_symbol:RFX2
og_00000346	entrez_gi:5991	official_symbol:RFX3
og_00000347	entrez_gi:89790	official_symbol:SIGLEC10
og_00000348	entrez_gi:150223	official_symbol:YDJC
og_00000349	entrez_gi:200205	official_symbol:IBA57
og_00000350	entrez_gi:90799	official_symbol:CEP95
og_00000351	entrez_gi:5605	official_symbol:MAP2K2
og_00000352	entrez_gi:324	official_symbol:APC
og_00000353	entrez_gi:374395	official_symbol:TMEM179B
og_00000354	entrez_gi:6059	official_symbol:ABCE1
